#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp000hs3w|2010-12-27T09:00:20.440|-19.732|168.369|10|us|us|us|usp000hs3w|mb|5|us|Vanuatu
usp000hs3g|2010-12-27T06:41:48.540|-22.916|-176.407|106.9|us|us|us|usp000hs3g|mwc|5.3|gcmt|229 km SW of Vaini, Tonga
usp000hs3e|2010-12-27T05:44:10.790|-19.59|167.94|10|us|us|us|usp000hs3e|mb|5.2|us|140 km W of Isangel, Vanuatu
usp000hs33|2010-12-27T01:51:25.240|-19.359|167.802|10|us|us|us|usp000hs33|mwc|5|gcmt|156 km W of Isangel, Vanuatu
usp000hs32|2010-12-27T01:00:14.330|10.734|-61.635|54.3|us|us|us|usp000hs32|mwc|5|gcmt|10 km WNW of Petit Valley, Trinidad and Tobago
usp000hs30|2010-12-27T00:48:36.540|-2.494|-11.975|10|us|us|us|usp000hs30|mwc|5|gcmt|north of Ascension Island
usp000hs2w|2010-12-26T23:32:11.000|-19.8|167.756|9.1|us|us|us|usp000hs2w|mb|5|us|133 km NNE of Wé, New Caledonia
usp000hs2h|2010-12-26T19:38:21.440|-19.636|168.261|10|us|us|us|usp000hs2h|mwc|5.5|gcmt|107 km W of Isangel, Vanuatu
usp000hs1r|2010-12-26T13:34:04.300|-19.842|168.213|10|us|us|us|usp000hs1r|mwc|5|gcmt|116 km WSW of Isangel, Vanuatu
usp000hs1a|2010-12-26T10:33:12.340|-19.486|168.088|10|us|us|us|usp000hs1a|mb|5.3|us|125 km W of Isangel, Vanuatu
usp000hs18|2010-12-26T10:00:00.250|-19.927|168.13|10|us|us|us|usp000hs18|mb|5.2|us|128 km WSW of Isangel, Vanuatu
usp000hs15|2010-12-26T09:10:59.690|27.007|143.738|10|us|us|us|usp000hs15|mb|5.3|us|Bonin Islands, Japan region
usp000hs0y|2010-12-26T07:44:03.080|27.178|143.298|10|us|us|us|usp000hs0y|mwr|5|nied|Bonin Islands, Japan region
usp000hs0m|2010-12-26T06:17:57.420|-19.742|168.207|10|us|us|us|usp000hs0m|mwc|5.4|gcmt|114 km W of Isangel, Vanuatu
usp000hrzt|2010-12-26T02:13:37.680|-19.616|168.284|13|us|us|us|usp000hrzt|mwb|6|us|105 km W of Isangel, Vanuatu
usp000hrze|2010-12-26T01:00:21.190|-19.937|168.181|10|us|us|us|usp000hrze|mwc|5.3|gcmt|123 km WSW of Isangel, Vanuatu
usp000hrzb|2010-12-26T00:12:37.020|-19.506|168.101|10|us|us|us|usp000hrzb|mb|5.1|us|123 km W of Isangel, Vanuatu
usp000hrza|2010-12-26T00:12:34.050|-21.083|168.129|10|us|us|us|usp000hrza|mb|5|us|57 km NNE of Tadine, New Caledonia
usp000hrz9|2010-12-26T00:00:53.460|27.135|143.313|10|us|us|us|usp000hrz9|mb|5|us|Bonin Islands, Japan region
usp000hrz2|2010-12-25T23:20:22.480|-19.648|168.014|10|us|us|us|usp000hrz2|mb|5.1|us|133 km W of Isangel, Vanuatu
usp000hryu|2010-12-25T22:41:31.130|-19.342|167.933|23.8|us|us|us|usp000hryu|mb|5|us|143 km W of Isangel, Vanuatu
usp000hryq|2010-12-25T22:26:02.080|-19.833|168.096|10|us|us|us|usp000hryq|mwc|5.2|gcmt|128 km WSW of Isangel, Vanuatu
usp000hryc|2010-12-25T21:16:52.170|6.003|127.431|74.9|us|us|us|usp000hryc|mb|5.1|us|144 km ESE of Pondaguitan, Philippines
usp000hrxh|2010-12-25T18:52:30.820|-19.323|167.975|10|us|us|us|usp000hrxh|mb|5.3|us|139 km W of Isangel, Vanuatu
usp000hrxf|2010-12-25T18:40:15.790|-19.808|168.272|10|us|us|us|usp000hrxf|mb|5.2|us|109 km WSW of Isangel, Vanuatu
usp000hrxe|2010-12-25T18:38:49.180|-19.66|168.224|10|us|us|us|usp000hrxe|mb|5.4|us|111 km W of Isangel, Vanuatu
usp000hrxc|2010-12-25T18:28:23.700|-19.469|168.066|10|us|us|us|usp000hrxc|mb|5|us|127 km W of Isangel, Vanuatu
usp000hrx9|2010-12-25T17:40:11.030|27.004|143.393|10|us|us|us|usp000hrx9|mb|5.2|us|Bonin Islands, Japan region
usp000hrx6|2010-12-25T17:11:41.900|-19.396|167.947|10|us|us|us|usp000hrx6|mb|5.1|us|141 km W of Isangel, Vanuatu
usp000hrx4|2010-12-25T17:02:27.160|-19.318|167.942|10|us|us|us|usp000hrx4|mb|5.1|us|142 km W of Isangel, Vanuatu
usp000hrx3|2010-12-25T16:53:57.010|-19.291|167.97|10|us|us|us|usp000hrx3|mb|5.2|us|140 km WNW of Isangel, Vanuatu
usp000hrx0|2010-12-25T16:47:35.280|-19.636|167.987|10|us|us|us|usp000hrx0|mb|5.2|us|136 km W of Isangel, Vanuatu
usp000hrwy|2010-12-25T16:22:11.600|-19.321|167.928|10|us|us|us|usp000hrwy|mb|5|us|144 km W of Isangel, Vanuatu
usp000hrwx|2010-12-25T16:05:58.610|26.78|143.93|10|us|us|us|usp000hrwx|mb|5.1|us|Bonin Islands, Japan region
usp000hrwt|2010-12-25T15:28:34.310|-19.678|167.955|10|us|us|us|usp000hrwt|mb|5.2|us|139 km W of Isangel, Vanuatu
usp000hrws|2010-12-25T15:26:18.300|-19.467|168.023|10|us|us|us|usp000hrws|mb|5.3|us|132 km W of Isangel, Vanuatu
usp000hrwp|2010-12-25T15:04:16.430|-19.361|167.973|10|us|us|us|usp000hrwp|mb|5.1|us|138 km W of Isangel, Vanuatu
usp000hrwk|2010-12-25T14:44:35.980|-19.361|167.954|10|us|us|us|usp000hrwk|mb|5.4|us|Vanuatu region
usp000hrwe|2010-12-25T14:18:58.450|27.067|143.385|10|us|us|us|usp000hrwe|mb|5|us|Bonin Islands, Japan region
usp000hrw9|2010-12-25T14:09:52.090|27.084|143.429|10|us|us|us|usp000hrw9|mb|5.1|us|Bonin Islands, Japan region
usp000hrw8|2010-12-25T14:04:04.110|27.082|143.363|10|us|us|us|usp000hrw8|mb|5.3|us|Bonin Islands, Japan region
usp000hrw5|2010-12-25T13:59:02.040|-19.307|168.002|10|us|us|us|usp000hrw5|mb|5.5|us|136 km W of Isangel, Vanuatu
usp000hrw1|2010-12-25T13:27:45.290|-19.467|167.919|10|us|us|us|usp000hrw1|mb|5.3|us|143 km W of Isangel, Vanuatu
usp000hrw0|2010-12-25T13:16:37.000|-19.702|167.947|16|us|us|us|usp000hrw0|mwc|7.3|us|141 km W of Isangel, Vanuatu
usp000hrvr|2010-12-25T11:59:40.400|-36.83|177.1|229.7|wel|us|us|usp000hrvr|mb|5|us|113 km E of Tairua, New Zealand
usp000hrvp|2010-12-25T11:41:05.750|26.787|143.577|10|us|us|us|usp000hrvp|mwc|5.1|gcmt|Bonin Islands, Japan region
usp000hrv9|2010-12-25T06:48:19.760|26.839|143.935|10|us|us|us|usp000hrv9|mb|5.1|us|Bonin Islands, Japan region
usp000hrv3|2010-12-25T05:55:23.400|25.538|141.123|19.7|us|us|us|usp000hrv3|mwc|5.2|gcmt|Volcano Islands, Japan region
usp000hrud|2010-12-24T23:43:44.860|18.26|-66.135|102.9|rspr|us|us|usp000hrud|mwc|5.1|gcmt|3 km W of Aguas Buenas, Puerto Rico
usp000hrtm|2010-12-24T18:44:57.000|11.53|-86.857|66.2|us|us|us|usp000hrtm|mb|5|us|46 km SW of Masachapa, Nicaragua
usp000hrtg|2010-12-24T17:28:23.250|27.035|143.309|10|us|us|us|usp000hrtg|mb|5.3|us|Bonin Islands, Japan region
usp000hrtf|2010-12-24T17:27:37.280|27.056|143.245|10.5|us|us|us|usp000hrtf|mwc|5.1|gcmt|Bonin Islands, Japan region
usp000hrrs|2010-12-24T00:05:34.670|-19.847|168.531|10|us|us|us|usp000hrrs|mb|5|us|85 km WSW of Isangel, Vanuatu
usp000hrqw|2010-12-23T17:26:32.440|-1.905|67.969|10|us|us|us|usp000hrqw|mwc|5|gcmt|Carlsberg Ridge
usp000hrqn|2010-12-23T16:30:55.110|18.961|145.841|115.6|us|us|us|usp000hrqn|mwc|5.1|gcmt|Pagan region, Northern Mariana Islands
usp000hrqk|2010-12-23T16:28:14.780|-7.999|119.951|206.8|us|us|us|usp000hrqk|mwc|5.5|gcmt|55 km N of Labuan Bajo, Indonesia
usp000hrqj|2010-12-23T16:28:14.240|-19.908|168.596|39.3|us|us|us|usp000hrqj|mb|5.6|us|82 km WSW of Isangel, Vanuatu
usp000hrqg|2010-12-23T16:01:34.420|-19.723|168.469|58.6|us|us|us|usp000hrqg|mb|5.3|us|87 km WSW of Isangel, Vanuatu
usp000hrq4|2010-12-23T14:30:40.860|26.896|143.84|10|us|us|us|usp000hrq4|mb|5|us|Bonin Islands, Japan region
usp000hrpe|2010-12-23T11:55:24.560|-18.309|-173.982|10|us|us|us|usp000hrpe|mb|5.1|us|37 km N of Neiafu, Tonga
usp000hrmp|2010-12-23T01:46:26.710|27.182|143.396|10|us|us|us|usp000hrmp|mwc|5|gcmt|Bonin Islands, Japan region
usp000hrmj|2010-12-23T01:35:52.410|27.248|143.333|10|us|us|us|usp000hrmj|mwc|5|gcmt|Bonin Islands, Japan region
usp000hrmc|2010-12-23T00:01:37.690|3.931|95.916|41.8|us|us|us|usp000hrmc|mwc|5.4|gcmt|33 km SW of Meulaboh, Indonesia
usp000hrm5|2010-12-22T23:25:07.170|-2.789|141.476|14.6|us|us|us|usp000hrm5|mb|5.2|us|22 km ESE of Vanimo, Papua New Guinea
usp000hrm1|2010-12-22T22:16:52.520|26.895|143.743|17.9|us|us|us|usp000hrm1|mb|5|us|Bonin Islands, Japan region
usp000hrky|2010-12-22T21:49:40.080|26.81|143.595|18|us|us|us|usp000hrky|mwc|6.4|gcmt|Bonin Islands, Japan region
usp000hrkw|2010-12-22T20:40:28.490|-39.293|46.276|10|us|us|us|usp000hrkw|mwc|5.4|gcmt|Southwest Indian Ridge
usp000hrjb|2010-12-22T14:02:43.520|-13.461|-111.614|10|us|us|us|usp000hrjb|mwc|5.1|gcmt|central East Pacific Rise
usp000hrj3|2010-12-22T13:01:13.990|27.039|143.311|14.4|us|us|us|usp000hrj3|mwc|5.2|gcmt|Bonin Islands, Japan region
usp000hrhx|2010-12-22T12:26:39.650|26.999|143.293|10|us|us|us|usp000hrhx|mb|5|us|Bonin Islands, Japan region
usp000hrhw|2010-12-22T12:26:28.540|27.02|143.295|10|us|us|us|usp000hrhw|mwc|5.1|gcmt|Bonin Islands, Japan region
usp000hrh9|2010-12-22T10:30:07.330|26.944|143.413|10|us|us|us|usp000hrh9|mb|5|us|Bonin Islands, Japan region
usp000hrh8|2010-12-22T10:29:32.640|26.975|143.44|10|us|us|us|usp000hrh8|mb|5|us|Bonin Islands, Japan region
usp000hrh4|2010-12-22T10:07:45.440|27.196|143.273|10|us|us|us|usp000hrh4|mb|5|us|Bonin Islands, Japan region
usp000hrgf|2010-12-22T08:07:05.590|27.065|143.504|10|us|us|us|usp000hrgf|mwc|5|gcmt|
usp000hrgc|2010-12-22T07:51:44.580|26.869|143.538|3.5|us|us|us|usp000hrgc|mwc|5.2|gcmt|Bonin Islands, Japan region
usp000hrfr|2010-12-22T06:10:38.740|26.9|143.584|17.6|us|us|us|usp000hrfr|mwc|5.1|gcmt|Bonin Islands, Japan region
gcmtc201012220608a|2010-12-22T06:08:56.000|-20.75|173.75|10|us|gcmt|us|gcmtc201012220608a|mwc|5.1|us|Vanuatu region
usp000hrfj|2010-12-22T05:38:48.630|26.734|143.576|10|us|us|us|usp000hrfj|mwc|5|gcmt|Bonin Islands, Japan region
usp000hreu|2010-12-22T04:03:43.430|-4.966|-11.674|10|us|us|us|usp000hreu|mwc|5.1|gcmt|north of Ascension Island
usp000hrej|2010-12-22T03:21:06.430|27.121|143.363|10|us|us|us|usp000hrej|mb|5.2|us|Bonin Islands, Japan region
usp000hred|2010-12-22T03:02:11.850|26.819|143.763|10|us|us|us|usp000hred|mwc|5.4|gcmt|Bonin Islands, Japan region
usp000hrdm|2010-12-22T01:36:30.080|26.721|143.669|3.1|us|us|us|usp000hrdm|mwc|5.4|gcmt|Bonin Islands, Japan region
usp000hrdk|2010-12-22T01:31:17.860|26.669|143.535|10|us|us|us|usp000hrdk|mwc|5.6|gcmt|Bonin Islands, Japan region
usp000hrdf|2010-12-22T01:16:43.950|26.732|143.719|11.5|us|us|us|usp000hrdf|mwc|5.4|gcmt|Bonin Islands, Japan region
usp000hrcr|2010-12-21T23:38:54.130|26.73|143.466|10|us|us|us|usp000hrcr|mwr|5|nied|Bonin Islands, Japan region
usp000hrcd|2010-12-21T22:19:58.190|26.777|143.547|10|us|us|us|usp000hrcd|mwr|5.1|nied|Bonin Islands, Japan region
usp000hrcc|2010-12-21T22:17:45.400|26.714|143.909|10|us|us|us|usp000hrcc|mb|5|us|Bonin Islands, Japan region
usp000hrcb|2010-12-21T22:08:01.410|26.928|143.408|12.5|us|us|us|usp000hrcb|mwr|5|nied|Bonin Islands, Japan region
usp000hrc1|2010-12-21T21:33:50.100|26.613|143.497|10|us|us|us|usp000hrc1|mb|5|us|Bonin Islands, Japan region
usp000hrby|2010-12-21T21:22:34.730|26.801|143.484|10|us|us|us|usp000hrby|mwr|5|nied|Bonin Islands, Japan region
usp000hrbq|2010-12-21T20:59:33.670|26.771|143.581|10|us|us|us|usp000hrbq|mb|5|us|Bonin Islands, Japan region
usp000hrbk|2010-12-21T20:52:25.320|26.685|143.685|10|us|us|us|usp000hrbk|mb|5|us|Bonin Islands, Japan region
usp000hrba|2010-12-21T20:36:58.420|27.131|143.577|10|us|us|us|usp000hrba|mb|5|us|Bonin Islands, Japan region
usp000hrb9|2010-12-21T20:36:03.370|26.975|143.653|10|us|us|us|usp000hrb9|mb|5.2|us|Bonin Islands, Japan region
usp000hrb8|2010-12-21T20:35:25.700|27.114|143.392|10|us|us|us|usp000hrb8|mb|5|us|Bonin Islands, Japan region
usp000hrb6|2010-12-21T20:18:43.490|27.096|143.236|10|us|us|us|usp000hrb6|ms|5.6|us|Bonin Islands, Japan region
usp000hrb5|2010-12-21T20:16:38.570|27.085|143.514|3.3|us|us|us|usp000hrb5|mb|5.3|us|Bonin Islands, Japan region
usp000hrau|2010-12-21T19:40:24.970|27.191|143.486|10|us|us|us|usp000hrau|mb|5|us|Bonin Islands, Japan region
usp000hra8|2010-12-21T18:41:38.580|27.06|143.326|10|us|us|us|usp000hra8|mb|5.1|us|Bonin Islands, Japan region
usp000hra6|2010-12-21T18:32:53.570|26.695|143.699|5.1|us|us|us|usp000hra6|mb|5|us|Bonin Islands, Japan region
usp000hra5|2010-12-21T18:31:28.270|-34.576|-179.535|10|us|us|us|usp000hra5|mb|5|us|south of the Kermadec Islands
usp000hr9v|2010-12-21T18:03:40.390|27.23|143.387|10|us|us|us|usp000hr9v|mb|5|us|Bonin Islands, Japan region
usp000hr9t|2010-12-21T18:00:36.480|27.204|143.406|8.8|us|us|us|usp000hr9t|mb|5|us|Bonin Islands, Japan region
usp000hr9s|2010-12-21T17:56:01.270|27.184|143.358|10|us|us|us|usp000hr9s|mb|5|us|Bonin Islands, Japan region
usp000hr9r|2010-12-21T17:53:22.520|27.203|143.455|10|us|us|us|usp000hr9r|mb|5.3|us|Bonin Islands, Japan region
usp000hr9g|2010-12-21T17:41:25.990|27.081|143.308|7.6|us|us|us|usp000hr9g|mb|5.5|us|Bonin Islands, Japan region
usp000hr9f|2010-12-21T17:40:47.590|27.08|143.215|10|us|us|us|usp000hr9f|mb|5.5|us|Bonin Islands, Japan region
usp000hr9e|2010-12-21T17:39:36.210|27.276|143.752|10|us|us|us|usp000hr9e|mb|5.2|us|Bonin Islands, Japan region
usp000hr9d|2010-12-21T17:39:05.690|27.217|143.432|10|us|us|us|usp000hr9d|mb|5.1|us|Bonin Islands, Japan region
usp000hr9b|2010-12-21T17:35:09.930|27.155|143.483|10|us|us|us|usp000hr9b|mb|5.1|us|Bonin Islands, Japan region
usp000hr9a|2010-12-21T17:34:40.970|27.094|143.585|10|us|us|us|usp000hr9a|mb|5|us|Bonin Islands, Japan region
usp000hr99|2010-12-21T17:33:20.720|26.961|143.088|10|us|us|us|usp000hr99|mb|5.2|us|Bonin Islands, Japan region
usp000hr98|2010-12-21T17:29:30.430|27.104|143.449|10|us|us|us|usp000hr98|mb|5.3|us|Bonin Islands, Japan region
usp000hr97|2010-12-21T17:19:40.660|26.901|143.698|14|us|us|us|usp000hr97|mwc|7.4|us|Bonin Islands, Japan region
usp000hr94|2010-12-21T14:07:48.290|2.715|95.893|21|us|us|us|usp000hr94|mwb|5.8|us|60 km WNW of Sinabang, Indonesia
usp000hr93|2010-12-21T14:03:26.600|-15.476|-173.72|10|us|us|us|usp000hr93|mb|5.1|us|53 km N of Hihifo, Tonga
usp000hr88|2010-12-21T03:59:38.350|-8.7|111.197|54.6|us|us|us|usp000hr88|mwb|5.6|us|88 km SW of Trenggalek, Indonesia
usp000hr7w|2010-12-20T22:13:07.180|-18.805|-173.342|46.7|us|us|us|usp000hr7w|mwc|5.3|gcmt|69 km ESE of Neiafu, Tonga
usp000hr7r|2010-12-20T20:29:34.690|16.962|147.232|43.9|us|us|us|usp000hr7r|mb|5|us|249 km NE of Saipan, Northern Mariana Islands
usp000hr7k|2010-12-20T18:41:59.200|28.412|59.18|12|us|us|us|usp000hr7k|mwc|6.7|us|111 km SE of Bam, Iran
usp000hr7h|2010-12-20T17:43:42.150|-17.016|-177.048|35|us|us|us|usp000hr7h|mwc|5.1|gcmt|Fiji region
usp000hr7g|2010-12-20T17:21:26.180|12.995|-88.64|72.3|us|us|us|usp000hr7g|mwb|5.7|us|33 km SSW of Puerto El Triunfo, El Salvador
usp000hr7a|2010-12-20T15:15:08.670|10.171|-103.977|10|us|us|us|usp000hr7a|mwc|5.9|gcmt|northern East Pacific Rise
usp000hr6s|2010-12-20T04:27:32.970|10.402|126.155|10|us|us|us|usp000hr6s|mwc|5|gcmt|44 km NNE of Santa Monica, Philippines
usp000hr5w|2010-12-19T22:25:05.000|18.521|145.672|168.6|us|us|us|usp000hr5w|mwc|5.1|gcmt|Pagan region, Northern Mariana Islands
usp000hr5m|2010-12-19T20:43:35.280|-12.692|167.541|35|us|us|us|usp000hr5m|mwc|5|gcmt|131 km N of Sola, Vanuatu
usp000hr4z|2010-12-19T12:14:24.510|7.521|37.839|10|us|us|us|usp000hr4z|mwc|5.1|gcmt|3 km SSW of Hosa’ina, Ethiopia
usp000hr4y|2010-12-19T11:51:54.910|38.391|73.679|124.3|us|us|us|usp000hr4y|mb|5.2|us|35 km NW of Murghob, Tajikistan
usp000hr47|2010-12-18T22:56:43.080|5.42|94.667|55.2|us|us|us|usp000hr47|mwc|5|gcmt|75 km W of Banda Aceh, Indonesia
usp000hr45|2010-12-18T22:24:18.000|-14.131|-173.306|30.7|us|us|us|usp000hr45|mwc|5.9|gcmt|98 km SW of Asau, Samoa
usp000hr3r|2010-12-18T14:35:25.450|-5.488|147.339|198.5|us|us|us|usp000hr3r|mb|5.1|us|130 km NNW of Finschhafen, Papua New Guinea
usp000hr3n|2010-12-18T14:02:18.850|18.503|146.464|35|us|us|us|usp000hr3n|mwc|5.3|gcmt|Pagan region, Northern Mariana Islands
usp000hr34|2010-12-18T06:11:46.860|10.399|126.08|10|us|us|us|usp000hr34|mwc|5|gcmt|42 km N of Santa Monica, Philippines
usp000hr32|2010-12-18T06:05:41.500|37.28|20.22|24|ath|us|us|usp000hr32|mb|5|us|72 km SW of Lithakiá, Greece
usp000hr2z|2010-12-18T05:06:21.690|10.409|126.156|14|us|us|us|usp000hr2z|mwc|5.6|gcmt|44 km NNE of Santa Monica, Philippines
usp000hr21|2010-12-17T22:14:26.690|-8.501|-71.46|568.2|us|us|us|usp000hr21|mwc|5.2|gcmt|Acre, Brazil
usp000hr19|2010-12-17T13:22:45.380|-6.48|129.996|154.9|us|us|us|usp000hr19|mwc|5.5|gcmt|Banda Sea
usp000hr0m|2010-12-17T04:12:12.490|19.517|-108.947|10|us|us|us|usp000hr0m|mwc|5.3|gcmt|Revilla Gigedo Islands region
usp000hr05|2010-12-16T21:42:59.140|-3.105|129.735|47.6|us|us|us|usp000hr05|mb|5|us|94 km ENE of Amahai, Indonesia
usp000hr00|2010-12-16T18:26:05.370|-6.324|149.315|55.1|us|us|us|usp000hr00|mwc|5|gcmt|28 km WSW of Kandrian, Papua New Guinea
usp000hqzt|2010-12-16T14:03:06.420|-22.517|169.51|47.9|us|us|us|usp000hqzt|mwc|5|gcmt|199 km ESE of Tadine, New Caledonia
usp000hqzj|2010-12-16T07:11:58.440|-10.786|-73.459|113.6|us|us|us|usp000hqzj|mwc|5.3|gcmt|101 km ENE of Puerto Ocopa, Peru
usp000hqza|2010-12-16T02:10:23.640|-30.365|-178.024|35.6|us|us|us|usp000hqza|mwb|5.2|us|Kermadec Islands, New Zealand
usp000hqyu|2010-12-15T18:22:23.540|-17.679|-69.143|136.6|us|us|us|usp000hqyu|mwc|5.1|gcmt|78 km WNW of Curahuara de Carangas, Bolivia
usp000hqyg|2010-12-15T12:03:33.620|-26.781|178.607|629.5|us|us|us|usp000hqyg|mb|5|us|south of the Fiji Islands
usp000hqyf|2010-12-15T11:29:30.840|-7.268|128.786|134.9|us|us|us|usp000hqyf|mwc|6|gcmt|241 km NE of Lospalos, Timor Leste
usp000hqy2|2010-12-15T04:23:03.670|-37.31|78.169|10|us|us|us|usp000hqy2|mwc|5.3|gcmt|Mid-Indian Ridge
usp000hqxq|2010-12-14T21:14:14.970|-23.061|-114.407|10|us|us|us|usp000hqxq|mwc|5|gcmt|Easter Island region
usp000hqxm|2010-12-14T19:11:41.480|3.824|-32.563|10|us|us|us|usp000hqxm|mb|5|us|central Mid-Atlantic Ridge
usp000hqwf|2010-12-14T01:16:18.820|-32.339|-179.565|12|us|us|us|usp000hqwf|mwc|5.3|gcmt|south of the Kermadec Islands
usp000hqw6|2010-12-13T18:51:05.360|-33.989|-73.08|29.3|us|us|us|usp000hqw6|mwc|5.2|gcmt|143 km WSW of San Antonio, Chile
usp000hqw1|2010-12-13T13:30:50.180|-8.092|119.812|191.2|us|us|us|usp000hqw1|mwc|5.4|gcmt|45 km N of Labuan Bajo, Indonesia
usp000hqvz|2010-12-13T09:44:53.180|39.419|-29.615|10|us|us|us|usp000hqvz|mb|5|us|126 km NW of Castelo Branco, Portugal
usp000hqvw|2010-12-13T09:18:32.360|-6.259|104.008|42.8|us|us|us|usp000hqvw|mwc|5.7|gcmt|166 km WSW of Bandar Lampung, Indonesia
usp000hqvu|2010-12-13T08:56:47.060|-18.442|-174.624|109|us|us|us|usp000hqvu|mb|5.1|us|71 km WNW of Neiafu, Tonga
usp000hqvm|2010-12-13T05:19:47.650|27.478|129.319|29.5|us|us|us|usp000hqvm|mwr|5|nied|99 km S of Naze, Japan
usp000hqvf|2010-12-13T01:14:42.320|-6.534|155.647|135.8|us|us|us|usp000hqvf|mwc|6.2|us|30 km SE of Panguna, Papua New Guinea
usp000hqv3|2010-12-12T17:50:36.820|-28.098|-177.106|35|us|us|us|usp000hqv3|mwc|5.6|gcmt|Kermadec Islands region
usp000hquy|2010-12-12T15:59:19.660|-5.971|117.707|31.1|us|us|us|usp000hquy|mwc|5.4|gcmt|197 km WSW of Galesong, Indonesia
usp000hquw|2010-12-12T15:40:57.210|-6.263|150.388|10|us|us|us|usp000hquw|mwc|5.2|gcmt|83 km SSE of Kimbe, Papua New Guinea
usp000hqur|2010-12-12T14:54:27.140|-6.297|150.352|10|us|us|us|usp000hqur|mb|5.2|us|85 km SSE of Kimbe, Papua New Guinea
usp000hquq|2010-12-12T14:53:10.520|-6.366|150.265|25.2|us|us|us|usp000hquq|mwc|5.4|gcmt|81 km ESE of Kandrian, Papua New Guinea
